user,film,rating,film_id,favorite
jsalvasoler,The Northman,3.0,565852,0.0
jsalvasoler,The Unbearable Weight of Massive Talent,4.0,574385,0.0
jsalvasoler,Everything Everywhere All at Once,,474474,0.0
jsalvasoler,The Batman,4.0,348914,0.0
jsalvasoler,Alcarràs,4.5,721533,0.0
jsalvasoler,Spider-Man: No Way Home,3.5,560787,0.0
jsalvasoler,Don't Look Up,2.5,572255,0.0
jsalvasoler,Nightmare Alley,3.0,524592,0.0
jsalvasoler,Licorice Pizza,3.5,641086,0.0
jsalvasoler,No Time to Die,4.0,305964,0.0
jsalvasoler,Last Night in Soho,3.5,505000,0.0
jsalvasoler,Dune,4.5,371378,0.0
jsalvasoler,Belfast,3.0,696630,0.0
jsalvasoler,The Power of the Dog,3.5,527841,0.0
jsalvasoler,The Hand of God,3.5,645598,0.0
jsalvasoler,Free Guy,3.0,479814,0.0
jsalvasoler,Old,3.0,558054,0.0
jsalvasoler,Titane,1.5,556553,0.0
jsalvasoler,The Summit of the Gods,4.0,635689,0.0
jsalvasoler,Luca,4.0,438722,0.0
jsalvasoler,F9,1.5,320000,0.0
jsalvasoler,Seaspiracy,3.0,718615,0.0
jsalvasoler,Soul,4.0,438511,0.0
jsalvasoler,Another Round,4.0,508246,0.0
jsalvasoler,Nomadland,3.0,509662,0.0
jsalvasoler,Tenet,3.0,506032,0.0
jsalvasoler,The Hater,2.5,518345,0.0
jsalvasoler,Onward,3.5,438272,0.0
jsalvasoler,The Call of the Wild,2.0,412707,0.0
jsalvasoler,The Social Dilemma,2.5,581924,0.0
jsalvasoler,Star Wars: The Rise of Skywalker,3.5,131984,0.0
jsalvasoler,1917,4.0,460155,0.0
jsalvasoler,El Camino: A Breaking Bad Movie,3.0,488575,0.0
jsalvasoler,The Irishman,3.0,333203,0.0
jsalvasoler,Jojo Rabbit,5.0,444600,1.0
jsalvasoler,The Platform,2.5,545985,0.0
jsalvasoler,Joker,4.0,406775,0.0
jsalvasoler,Uncut Gems,1.5,404266,0.0
jsalvasoler,Marriage Story,3.5,422682,0.0
jsalvasoler,Crawl,1.5,441665,0.0
jsalvasoler,The Lion King,,354539,0.0
jsalvasoler,Spider-Man: Far From Home,3.5,362977,0.0
jsalvasoler,Midsommar,3.5,459564,0.0
jsalvasoler,Toy Story 4,1.5,228628,0.0
jsalvasoler,Once Upon a Time… in Hollywood,4.5,397859,0.0
jsalvasoler,The Lighthouse,2.5,433863,0.0
jsalvasoler,Avengers: Endgame,2.5,226660,0.0
jsalvasoler,Glass,4.0,382669,0.0
jsalvasoler,Bird Box,,340202,0.0
jsalvasoler,Bohemian Rhapsody,2.0,358222,0.0
jsalvasoler,Green Book,4.0,420703,0.0
jsalvasoler,22 July,0.5,405546,0.0
jsalvasoler,A Star Is Born,3.5,261108,0.0
jsalvasoler,The Meg,2.0,276291,0.0
jsalvasoler,The Fall of the American Empire,,444651,0.0
jsalvasoler,Incredibles 2,2.5,184061,0.0
jsalvasoler,Under the Silver Lake,4.0,330810,0.0
jsalvasoler,BlacKkKlansman,4.0,418135,0.0
jsalvasoler,Avengers: Infinity War,3.5,226661,0.0
jsalvasoler,Champions,,388893,0.0
jsalvasoler,Annihilation,,227784,0.0
jsalvasoler,Black Panther,,209383,0.0
jsalvasoler,Star Wars: The Last Jedi,,131987,0.0
jsalvasoler,Coco,4.0,285509,0.0
jsalvasoler,"Three Billboards Outside Ebbing, Missouri",,291610,0.0
jsalvasoler,Lady Bird,4.0,326279,0.0
jsalvasoler,Dunkirk,,310199,0.0
jsalvasoler,Spider-Man: Homecoming,3.5,242710,0.0
jsalvasoler,Transformers: The Last Knight,,265443,0.0
jsalvasoler,Cars 3,,184062,0.0
jsalvasoler,Wonder Woman,,225027,0.0
jsalvasoler,Baby Driver,3.0,268950,0.0
jsalvasoler,Call Me by Your Name,3.0,333029,0.0
jsalvasoler,Wind River,4.0,330220,0.0
jsalvasoler,Passengers,2.0,198992,0.0
jsalvasoler,Rogue One: A Star Wars Story,,258128,0.0
jsalvasoler,Allied,2.5,305623,0.0
jsalvasoler,Fantastic Beasts and Where to Find Them,,182910,0.0
jsalvasoler,Split,4.0,316315,0.0
jsalvasoler,Lion,4.0,263222,0.0
jsalvasoler,A Monster Calls,,181943,0.0
jsalvasoler,Moonlight,3.5,312205,0.0
jsalvasoler,Arrival,,257426,0.0
jsalvasoler,La La Land,4.0,240344,0.0
jsalvasoler,Heroes Wanted,,311319,0.0
jsalvasoler,Kubo and the Two Strings,,240068,0.0
jsalvasoler,Jason Bourne,,251773,0.0
jsalvasoler,The Shallows,,261112,0.0
jsalvasoler,Finding Dory,,99402,0.0
jsalvasoler,Paterson,4.0,306491,0.0
jsalvasoler,X-Men: Apocalypse,,172492,0.0
jsalvasoler,Neighbors 2: Sorority Rising,,252216,0.0
jsalvasoler,Captain America: Civil War,,194402,0.0
jsalvasoler,Kung Fu Panda 3,1.0,107197,0.0
jsalvasoler,Captain Fantastic,,263215,0.0
jsalvasoler,The Revenant,,207224,0.0
jsalvasoler,Star Wars: The Force Awakens,,107418,0.0
jsalvasoler,The Hateful Eight,3.5,197012,0.0
jsalvasoler,The Big Short,3.0,246013,0.0
jsalvasoler,The Hunger Games: Mockingjay - Part 2,2.5,101990,0.0
jsalvasoler,Bridge of Spies,3.0,223396,0.0
jsalvasoler,The Man Who Knew Infinity,,283460,0.0
jsalvasoler,ma ma,,206121,0.0
jsalvasoler,The Martian,,211511,0.0
jsalvasoler,Spotlight,3.0,241430,0.0
jsalvasoler,Everest,,177257,0.0
jsalvasoler,The Man from U.N.C.L.E.,,145822,0.0
jsalvasoler,Inside Out,,113284,0.0
jsalvasoler,Jurassic World,,104174,0.0
jsalvasoler,Fifty Shades of Grey,1.5,153285,0.0
jsalvasoler,Ex Machina,2.5,187986,0.0
jsalvasoler,Kingsman: The Secret Service,,148200,0.0
jsalvasoler,The Hobbit: The Battle of the Five Armies,,96552,0.0
jsalvasoler,The Hunger Games: Mockingjay - Part 1,2.5,101991,0.0
jsalvasoler,Interstellar,4.5,117621,0.0
jsalvasoler,Fury,2.5,160497,0.0
jsalvasoler,Annabelle,0.5,174952,0.0
jsalvasoler,Gone Girl,3.5,149857,0.0
jsalvasoler,The Theory of Everything,,190077,0.0
jsalvasoler,Nightcrawler,3.0,169907,0.0
jsalvasoler,The Imitation Game,,146954,0.0
jsalvasoler,Birdman or (The Unexpected Virtue of Ignorance),3.5,139795,0.0
jsalvasoler,Guardians of the Galaxy,,93676,0.0
jsalvasoler,Lucy,,168860,0.0
jsalvasoler,Transformers: Age of Extinction,,76504,0.0
jsalvasoler,The Fault in Our Stars,,157543,0.0
jsalvasoler,How to Train Your Dragon 2,,69142,0.0
jsalvasoler,The Amazing Spider-Man 2,,83215,0.0
jsalvasoler,Divergent,,117583,0.0
jsalvasoler,Captain America: The Winter Soldier,,81909,0.0
jsalvasoler,The Grand Budapest Hotel,2.5,95113,0.0
jsalvasoler,The Lego Movie,,105188,0.0
jsalvasoler,Boyhood,4.0,71927,0.0
jsalvasoler,The Hobbit: The Desolation of Smaug,,8983,0.0
jsalvasoler,The Wolf of Wall Street,4.0,86114,0.0
jsalvasoler,Frozen,,87948,0.0
jsalvasoler,The Hunger Games: Catching Fire,2.5,82488,0.0
jsalvasoler,Suck Me Shakespeer,,163417,0.0
jsalvasoler,12 Years a Slave,,62671,0.0
jsalvasoler,Her,5.0,114564,1.0
jsalvasoler,Captain Phillips,,87964,0.0
jsalvasoler,Coherence,,155900,0.0
jsalvasoler,Enemy,3.5,132034,0.0
jsalvasoler,The Green Inferno,,125947,0.0
jsalvasoler,Dallas Buyers Club,,114605,0.0
jsalvasoler,Prisoners,4.0,110740,0.0
jsalvasoler,Gravity,,16529,0.0
jsalvasoler,Jobs,,91952,0.0
jsalvasoler,Planes,,114229,0.0
jsalvasoler,Elysium,,52510,0.0
jsalvasoler,Snowpiercer,,88488,0.0
jsalvasoler,Don Jon,4.0,106177,0.0
jsalvasoler,Blue Jasmine,3.5,119466,0.0
jsalvasoler,The Wind Rises,4.5,112957,0.0
jsalvasoler,World War Z,,57292,0.0
jsalvasoler,Monsters University,,4553,0.0
jsalvasoler,The Purge,3.0,118110,0.0
jsalvasoler,After Earth,,69144,0.0
jsalvasoler,Nebraska,3.0,100920,0.0
jsalvasoler,Oblivion,,62108,0.0
jsalvasoler,Django Unchained,4.0,52516,0.0
jsalvasoler,The Hobbit: An Unexpected Journey,,16525,0.0
jsalvasoler,Life of Pi,,74348,0.0
jsalvasoler,Fènix 11-23,,107630,0.0
jsalvasoler,Skyfall,,26779,0.0
jsalvasoler,Argo,,52501,0.0
jsalvasoler,Looper,,6599,0.0
jsalvasoler,The Impossible,,66559,0.0
jsalvasoler,Silver Linings Playbook,4.5,69151,0.0
jsalvasoler,The Place Beyond the Pines,,80200,0.0
jsalvasoler,"Tad, the Lost Explorer",,95899,0.0
jsalvasoler,The Bourne Legacy,,16536,0.0
jsalvasoler,The Dark Knight Rises,,16550,0.0
jsalvasoler,The Amazing Spider-Man,,50677,0.0
jsalvasoler,Brave,,4586,0.0
jsalvasoler,Abraham Lincoln: Vampire Hunter,,57152,0.0
jsalvasoler,Prometheus,,58486,0.0
jsalvasoler,Moonrise Kingdom,4.0,70105,0.0
jsalvasoler,Battleship,,20367,0.0
jsalvasoler,The Hunger Games,2.5,59281,0.0
jsalvasoler,Project X,,8933,0.0
jsalvasoler,Gone,1.0,66002,0.0
jsalvasoler,Robot & Frank,,70756,0.0
jsalvasoler,War Horse,,8935,0.0
jsalvasoler,The Intouchables,,63767,0.0
jsalvasoler,In Time,0.5,16082,0.0
jsalvasoler,The Adventures of Tintin,,40915,0.0
jsalvasoler,Hugo,3.0,20374,0.0
jsalvasoler,Real Steel,,25416,0.0
jsalvasoler,Moneyball,,6286,0.0
jsalvasoler,The Guard,,53282,0.0
jsalvasoler,Harry Potter and the Deathly Hallows: Part 2,,44580,0.0
jsalvasoler,Transformers: Dark of the Moon,,26205,0.0
jsalvasoler,Cars 2,,16560,0.0
jsalvasoler,Super 8,5.0,5355,1.0
jsalvasoler,The Hangover Part II,1.5,19987,0.0
jsalvasoler,Kung Fu Panda 2,,16164,0.0
jsalvasoler,The Tree of Life,3.5,47468,0.0
jsalvasoler,The Artist,,61707,0.0
jsalvasoler,Pirates of the Caribbean: On Stranger Tides,,50735,0.0
jsalvasoler,Source Code,,5849,0.0
jsalvasoler,Ermessenda,,274010,0.0
jsalvasoler,Rango,,20307,0.0
jsalvasoler,Heroes,,69919,0.0
jsalvasoler,Harry Potter and the Deathly Hallows: Part 1,,44581,0.0
jsalvasoler,The Social Network,3.0,26711,0.0
jsalvasoler,The Town,2.5,37503,0.0
jsalvasoler,The King's Speech,,5363,0.0
jsalvasoler,Black Swan,4.0,20956,0.0
jsalvasoler,Scott Pilgrim vs. the World,,37833,0.0
jsalvasoler,Maria and I,,95017,0.0
jsalvasoler,Inception,5.0,34722,0.0
jsalvasoler,The Last Airbender,,46455,0.0
jsalvasoler,Toy Story 3,,46458,0.0
jsalvasoler,The Karate Kid,,26025,0.0
jsalvasoler,Robin Hood,,38864,0.0
jsalvasoler,Kick-Ass,,37354,0.0
jsalvasoler,How to Train Your Dragon,,46460,0.0
jsalvasoler,Shutter Island,,45409,0.0
jsalvasoler,Winter's Bone,3.0,25629,0.0
jsalvasoler,Nanga Parbat,,18726,0.0
jsalvasoler,Invictus,,37605,0.0
jsalvasoler,Avatar,,39304,0.0
jsalvasoler,The Road,,38804,0.0
jsalvasoler,The Blind Side,,37648,0.0
jsalvasoler,Saw VI,,37687,0.0
jsalvasoler,2012,2.0,43301,0.0
jsalvasoler,The Concert,,55905,0.0
jsalvasoler,Up in the Air,1.0,37609,0.0
jsalvasoler,G.I. Joe: The Rise of Cobra,,42752,0.0
